Basic Pay,Gross Pay and Allowances,Qualification Pay,Total Deductions
,,,
"176,060.00","374,449.00","1,500.00",
,,,"80,965.00"
,,,
,,,
"75,850.00","151,837.00",,
,,,"18,676.00"
,,,
,,,
"77,790.00","148,092.00","1,200.00",
,,,"16,724.00"
,,,
,,,
"47,678.00",,,
,"229,158.00",,
,,,"53,333.00"
,,,
,,,
"92,950.00","182,201.00",,
,,,"24,776.00"
,,,
,,,
"92,950.00",,,
,"181,813.00",,
,,,"24,683.00"
,,,
,,,
"75,530.00","166,012.00",,
,,,"19,412.00"
,,,
,,,
"89,090.00","186,117.00",,
,,,"23,725.00"
,,,
,,,
"71,010.00","169,662.00",,
,,,"26,430.00"
,,,
,,,
"68,750.00",,,
,"156,148.00",,
,,,"17,933.00"
,,,
,,,
"75,530.00","158,707.00",,
,,,"48,126.00"
,,,
,,,
"71,010.00","149,799.00",,
,,,"43,504.00"
,,,
,,,
"73,270.00","155,383.00",,
,,,"17,342.00"
,,,
,,,
"64,230.00","134,825.00",,
,,,"27,640.00"
,,,
,,,
"92,950.00","181,968.00",,
,,,"24,717.00"
,,,
,,,
"75,850.00","154,987.00","3,150.00",
,,,"28,056.00"
,,,
,,,
"84,570.00","182,770.00",,
,,,"25,686.00"
,,,
,,,
"82,690.00",,,
,"165,352.00",,
,,,"50,375.00"
,,,
,,,
"89,530.00",,,
,"182,869.00",,
,,,"24,947.00"
,,,
,,,
"112,260.00","221,899.00","3,150.00",
,,,"38,033.00"
,,,
,,,
"77,790.00","164,009.00",,
,,,"41,551.00"
,,,
,,,
"93,610.00","195,727.00",,
,,,"26,552.00"
,,,
,,,
"96,370.00",,,
,"194,858.00",,
,,,"27,944.00"
,,,
,,,
"82,690.00","177,240.00",,
,,,"22,486.00"
,,,
,,,
"84,570.00","176,794.00","1,500.00",
,,,"21,030.00"
,,,
,,,
"92,950.00",,,
,"414,698.00",,
,,,"83,622.00"
,,,
,,,
"82,310.00",,,
,"172,079.00",,
,,,"45,512.00"
,,,
,,,
"82,310.00","176,550.00",,
,,,"20,993.00"
,,,
,,,
"61,970.00",,,
,"129,163.00",,
,,,"20,139.00"
,,,
,,,
"79,270.00","155,727.00",,
,,,"20,257.00"
,,,
,,,
"68,750.00",,,
,"145,145.00",,
,,,"22,056.00"
,,,
,,,
"66,490.00",,,
,"140,672.00",,
,,,"21,145.00"
,,,
,,,
"75,850.00",,,
,"151,623.00",,
,,,"19,641.00"
,,,
,,,
"79,270.00",,,
,"153,675.00",,
,,,"29,321.00"
,,,
,,,
"82,690.00","165,727.00",,
,,,"21,757.00"
,,,
,,,
"71,010.00",,,
,"149,799.00",,
,,,"24,284.00"
,,,
,,,
"64,230.00","135,078.00",,
,,,"14,296.00"
,,,
,,,
"75,530.00",,,
,"159,676.00",,
,,,"40,814.00"
,,,
,,,
"75,530.00",,,
,"157,436.00",,
,,,"18,739.00"
,,,
,,,
"112,260.00","218,195.00",,
,,,"52,980.00"
,,,
,,,
"79,270.00","155,927.00",,
,,,"20,285.00"
,,,
,,,
"61,970.00",,,
,"130,478.00",,
,,,"23,343.00"
,,,
,,,
"71,010.00","151,285.00",,
,,,"21,363.00"
,,,
,,,
"129,300.00","228,416.00",,
,,,"36,281.00"
,,,
,,,
"96,370.00","189,414.00",,
,,,"46,839.00"
,,,
,,,
"80,050.00","169,271.00",,
,,,"32,140.00"
,,,
,,,
"82,690.00","166,568.00",,
,,,"20,883.00"
,,,
,,,
"73,270.00",,,
,"154,253.00",,
,,,"20,836.00"
,,,
,,,
"196,130.00","463,745.00",750.00,
,,,"100,789.00"
,,,
,,,
"196,130.00","474,472.00",,
,,,"99,028.00"
,,,
,,,
"82,690.00","165,597.00",,
,,,"25,738.00"
,,,
,,,
"82,690.00","164,738.00",,
,,,"18,131.00"
,,,
,,,
"91,350.00",,,
,"191,105.00",,
,,,"32,696.00"
,,,
,,,
"86,110.00","172,017.00",,
,,,"21,701.00"
,,,
,,,
"92,950.00","180,915.00",,
,,,"24,454.00"
,,,
,,,
"71,010.00",,,
,"149,799.00",,
,,,"16,504.00"
,,,
,,,
"73,270.00","152,271.00",,
,,,"30,817.00"
